id,change,name,system,description,tags,properties,technology,change_type,parent,change_note
commerce-monolith,,Commerce Monolith,legacy-commerce,"Single Java deployment containing storefront, administration, catalog, cart, checkout, customer, and order logic.",[legacy;monolith;stateful],"{""criticality"":""tier-1"",""deployment"":""virtual-machines"",""owner"":""Commerce Core Team"",""release_cadence"":""monthly""}",Java / Spring MVC,,,
erp-wms,,ERP and WMS,enterprise-fulfilment,"Inventory master, warehouse execution, and fulfilment planning.",[system-of-record;fulfilment],"{""owner"":""Supply Chain Technology""}",Commercial ERP,,,
enterprise-oms,,Enterprise OMS,enterprise-order-management,"Enterprise order routing, exception handling, and downstream fulfilment coordination.",[internal;orders;system-of-record],"{""owner"":""Order Operations Technology""}",Commercial OMS,,,
finance-ledger,,Finance Ledger and Reconciliation,enterprise-finance,"Enterprise settlement, reconciliation, and accounting integration.",[internal;finance;system-of-record],"{""owner"":""Finance Technology""}",Finance ERP,,,
payment-gateway,,Payment Gateway API,payment-provider,Tokenized payment API hosted by the external provider.,[external-api;pci],"{""owner"":""Payment Provider""}",REST API,,,
messaging-provider,,Messaging Provider API,customer-engagement,Email and SMS delivery API.,[external-api],"{""owner"":""Engagement Provider""}",REST API,,,
identity-provider,,Identity Provider,enterprise-identity,OAuth 2.0 and OpenID Connect identity service.,[identity;security],"{""owner"":""Identity Platform Team""}",OIDC,,,
digital-analytics-api,,Digital Analytics API,analytics-provider,External analytics event collection and reporting API.,[external-api;analytics],"{""owner"":""Analytics Provider""}",HTTPS collection API,,,
tax-api,,Tax Calculation API,tax-provider,"External tax quote, commit, void, and audit API.",[external-api;tax],"{""owner"":""Tax Provider""}",REST API,,,
fraud-api,,Fraud Decision API,fraud-provider,External fraud score and decision API.,[external-api;fraud],"{""owner"":""Fraud Provider""}",REST API,,,
commerce-edge,acme-2027-edge-foundation,Commerce Edge,,"CDN, WAF, TLS termination, and route-based strangler control plane.",[edge;security;strangler],"{""deployment"":""managed-cloud"",""owner"":""Platform Edge Team""}",Managed CDN / WAF / API gateway,added,commerce-platform,
storefront-bff,acme-2027-edge-foundation,Storefront BFF,,Channel-oriented API composition layer for the web storefront.,[bff;stateless],"{""deployment"":""kubernetes"",""owner"":""Storefront Team"",""scaling"":""horizontal""}",TypeScript / Node.js,added,commerce-platform,
event-backbone,acme-2027-edge-foundation,Commerce Event Backbone,,Durable domain-event transport with schema governance and replay.,[eventing;platform],"{""delivery_semantics"":""at-least-once"",""owner"":""Platform Messaging Team""}",Managed Kafka,added,commerce-platform,
observability-platform,acme-2027-edge-foundation,Commerce Observability Platform,,"Central metrics, logs, traces, alerting, and service-level objectives.",[observability;platform],"{""owner"":""Site Reliability Engineering""}",OpenTelemetry / managed observability,added,commerce-platform,
legacy-integration-adapter,acme-2027-edge-foundation,Legacy Anti-corruption Layer,,Stable adapters translating legacy concepts and contracts into target-domain APIs and events.,[anti-corruption-layer;temporary;strangler],"{""lifecycle"":""retire-in-year-5"",""owner"":""Migration Enablement Team""}",Java / integration runtime,added,commerce-platform,
analytics-event-adapter,acme-2027-edge-foundation,Analytics Event Adapter,,"Consent-aware, schema-controlled adapter for external digital analytics.",[analytics;privacy;anti-corruption-layer],"{""owner"":""Digital Analytics Team"",""pii"":""prohibited""}",TypeScript / streaming runtime,added,commerce-platform,
commerce-monolith,acme-2027-edge-foundation,,,Legacy commerce deployment reachable only behind strangler-controlled routes and adapters.,,,,changed,,Remove direct public ingress and freeze new domain development.
catalog-service,acme-2028-catalog-search,Catalog Service,,"System of record for products, categories, assortment, and sellability.",[microservice;bounded-context-catalog],"{""criticality"":""tier-1"",""deployment"":""kubernetes"",""owner"":""Catalog Team""}",Kotlin / Spring Boot,added,commerce-platform,
search-service,acme-2028-catalog-search,Search Service,,"Product search, faceting, ranking, and query suggestions from event-fed projections.",[microservice;bounded-context-search;cqrs-read-model],"{""deployment"":""kubernetes"",""owner"":""Search Team""}",Java / OpenSearch,added,commerce-platform,
catalog-sync-adapter,acme-2028-catalog-search,Catalog Migration Adapter,,Temporary idempotent translation and reconciliation between legacy merchandising and Catalog Service.,[migration-adapter;temporary],"{""lifecycle"":""retire-in-year-5"",""owner"":""Migration Enablement Team""}",Java / Kafka Connect,added,commerce-platform,
customer-service,acme-2029-customer-cart-pricing,Customer Service,,"Customer profile, addresses, preferences, and identity linkage.",[microservice;bounded-context-customer],"{""data_classification"":""confidential"",""owner"":""Customer Accounts Team""}",Kotlin / Spring Boot,added,commerce-platform,
cart-service,acme-2029-customer-cart-pricing,Cart Service,,Durable shopping carts with optimistic concurrency and expiry policies.,[microservice;bounded-context-cart],"{""criticality"":""tier-1"",""owner"":""Cart Team""}",Go,added,commerce-platform,
pricing-service,acme-2029-customer-cart-pricing,Pricing Service,,"Effective prices, promotions, eligibility, and explainable calculation results.",[microservice;bounded-context-pricing],"{""owner"":""Pricing Team""}",Java / Spring Boot,added,commerce-platform,
notification-service,acme-2029-customer-cart-pricing,Notification Service,,"Template, preference, deduplication, and delivery orchestration for customer communications.",[microservice;bounded-context-notification;event-driven],"{""owner"":""Customer Communications Team""}",TypeScript / Node.js,added,commerce-platform,
checkout-service,acme-2030-transaction-core,Checkout Orchestrator,,"Explicit saga coordinating validation, reservation, payment, order creation, and compensations.",[microservice;bounded-context-checkout;saga-orchestrator],"{""criticality"":""tier-1"",""idempotency"":""required"",""owner"":""Checkout Team""}",Java / workflow engine,added,commerce-platform,
order-service,acme-2030-transaction-core,Order Service,,System of record for accepted orders and order lifecycle state.,[microservice;bounded-context-order],"{""criticality"":""tier-1"",""owner"":""Order Team""}",Kotlin / Spring Boot,added,commerce-platform,
payment-service,acme-2030-transaction-core,Payment Service,,"PCI-minimized payment intents, authorization, capture, refund, and reconciliation.",[microservice;bounded-context-payment;pci-scope-minimized],"{""criticality"":""tier-1"",""owner"":""Payments Team""}",Java / Spring Boot,added,commerce-platform,
inventory-service,acme-2030-transaction-core,Inventory Service,,Commerce availability projection and time-bound stock reservations synchronized with ERP/WMS.,[microservice;bounded-context-inventory],"{""criticality"":""tier-1"",""owner"":""Inventory Team""}",Go,added,commerce-platform,
admin-portal,acme-2031-complete-cutover,Commerce Administration Portal,,Role-based customer service and merchandising experience composed over target-domain APIs.,[frontend;internal;micro-frontend-ready],"{""authentication"":""enterprise-identity"",""owner"":""Commerce Operations Experience Team""}",React / TypeScript,added,commerce-platform,
reporting-service,acme-2031-complete-cutover,Commerce Reporting Service,,Operational reporting over event-fed read models; never queries service databases directly.,[microservice;reporting;cqrs-read-model],"{""owner"":""Commerce Data Products Team""}",Python / SQL,added,commerce-platform,
legacy-integration-adapter,acme-2031-complete-cutover,,,,,,,removed,,All temporary translation and reconciliation paths have completed.
catalog-sync-adapter,acme-2031-complete-cutover,,,,,,,removed,,Catalog reconciliation is complete and Catalog Service is authoritative for all channels.
