id,name,change,tags,properties,provider,consumer,direction,type,technology,change_type,change_note
customer-to-monolith,Customer storefront traffic,,[synchronous;public],"{""contract"":""html"",""security"":""tls""}",customer,commerce-monolith,provider_to_consumer,web,HTTPS,,
agent-to-monolith,Customer service administration,,[synchronous;internal],{},customer-service-agent,commerce-monolith,provider_to_consumer,web,HTTPS,,
merchandiser-to-monolith,Merchandising administration,,[synchronous;internal],{},merchandiser,commerce-monolith,provider_to_consumer,web,HTTPS,,
monolith-to-identity,Authenticate customer,,[synchronous;security],{},commerce-monolith,identity-provider,provider_to_consumer,api,OIDC,,
monolith-to-payment,Authorize and capture payment,,[synchronous;pci;critical],"{""idempotency"":""legacy-order-id"",""timeout_seconds"":5}",commerce-monolith,payment-gateway,provider_to_consumer,api,REST / JSON,,
monolith-to-erp,Query inventory and fulfilment status,,[legacy;point-to-point],{},commerce-monolith,erp-wms,provider_to_consumer,integration,SOAP / SFTP,,
monolith-to-oms,Submit accepted order to enterprise OMS,,[legacy;point-to-point;orders],{},commerce-monolith,enterprise-oms,provider_to_consumer,integration,SOAP / JMS,,
oms-to-erp,Coordinate warehouse fulfilment,,[internal;retained],{},enterprise-oms,erp-wms,provider_to_consumer,integration,Enterprise integration bus,,
monolith-to-finance,Submit settlement and reconciliation batch,,[legacy;finance;batch],{},commerce-monolith,finance-ledger,provider_to_consumer,integration,SFTP batch,,
monolith-to-analytics,Send web and commerce analytics,,[external;analytics;legacy],"{""consent_required"":true,""pii"":""prohibited""}",commerce-monolith,digital-analytics-api,provider_to_consumer,event,HTTPS collection,,
monolith-to-tax,Calculate checkout tax,,[synchronous;external;critical],{},commerce-monolith,tax-api,provider_to_consumer,api,REST / JSON,,
monolith-to-fraud,Score payment fraud risk,,[synchronous;external;critical],{},commerce-monolith,fraud-api,provider_to_consumer,api,REST / JSON,,
monolith-to-messaging,Send customer communications,,[synchronous],{},commerce-monolith,messaging-provider,provider_to_consumer,api,REST / JSON,,
warehouse-to-erp,Warehouse operations,,[internal],{},warehouse-operator,erp-wms,provider_to_consumer,user-interface,HTTPS,,
customer-to-edge,Customer traffic through commerce edge,acme-2027-edge-foundation,[public;synchronous],"{""security"":""tls-waf-bot-control""}",customer,commerce-edge,provider_to_consumer,web,HTTPS,added,
edge-to-bff,Route target storefront requests,acme-2027-edge-foundation,[synchronous;strangler-target],,commerce-edge,storefront-bff,provider_to_consumer,api,HTTPS / JSON,added,
edge-to-monolith,Route unmigrated customer journeys,acme-2027-edge-foundation,[synchronous;strangler-fallback;temporary],,commerce-edge,commerce-monolith,provider_to_consumer,web,HTTPS,added,
bff-to-monolith,Compose unmigrated commerce capabilities,acme-2027-edge-foundation,[synchronous;strangler-fallback;temporary],,storefront-bff,commerce-monolith,provider_to_consumer,api,REST / JSON,added,
monolith-to-legacy-adapter,Publish and translate legacy domain changes,acme-2027-edge-foundation,[migration;anti-corruption-layer],,commerce-monolith,legacy-integration-adapter,provider_to_consumer,integration,Outbox / REST,added,
edge-to-analytics-adapter,Send consented digital interaction events,acme-2027-edge-foundation,[asynchronous;privacy-filtered],,commerce-edge,analytics-event-adapter,provider_to_consumer,event,HTTPS / JSON,added,
analytics-adapter-to-provider,Forward allowlisted analytics events,acme-2027-edge-foundation,[external;analytics;privacy-filtered],"{""consent_required"":true,""pii"":""prohibited""}",analytics-event-adapter,digital-analytics-api,provider_to_consumer,event,HTTPS collection,added,
customer-to-monolith,,acme-2027-edge-foundation,,,,,,,,removed,Enforce the edge as the only public entry point.
monolith-to-analytics,,acme-2027-edge-foundation,,,,,,,,removed,Centralize consent enforcement and external analytics contracts in the Analytics Event Adapter.
bff-to-catalog,Read product and navigation data,acme-2028-catalog-search,[synchronous;versioned-contract],,storefront-bff,catalog-service,provider_to_consumer,api,REST / JSON,added,
