id,name,application,change,description,tags,properties,technology,change_type,parent,change_note
legacy-web-ui,Server-rendered Storefront,commerce-monolith,,Customer web experience rendered inside the monolith.,[legacy;frontend],{},JSP / JavaScript,,,
legacy-catalog-module,Catalog and Merchandising Module,commerce-monolith,,"Product, category, assortment, and merchandising logic.",[legacy;bounded-context-catalog],{},Java module,,,
legacy-search-index,Embedded Search Index,commerce-monolith,,Locally managed product search index refreshed by batch jobs.,[legacy;search],{},Embedded search engine,,,
legacy-cart-module,Cart and Pricing Module,commerce-monolith,,"Session cart, promotions, and price calculation.",[legacy;bounded-context-cart],{},Java module,,,
legacy-customer-module,Customer Account Module,commerce-monolith,,"Customer profile, addresses, preferences, and authentication integration.",[legacy;bounded-context-customer],{},Java module,,,
legacy-checkout-module,Checkout and Payment Module,commerce-monolith,,Synchronous checkout transaction coordinating payment and order creation.,[legacy;bounded-context-checkout],{},Java module,,,
legacy-order-module,Order and Fulfilment Module,commerce-monolith,,Order lifecycle and point-to-point ERP integration.,[legacy;bounded-context-order],{},Java module,,,
legacy-admin-module,Back-office Administration Module,commerce-monolith,,Customer service and merchandising administration screens.,[legacy;admin],{},Java module,,,
legacy-commerce-db,Shared Commerce Database,commerce-monolith,,Shared relational schema used by every commerce domain.,[legacy;database;shared-database],"{""backup"":""point-in-time-recovery"",""data_classification"":""confidential"",""migration_rule"":""no-new-service-direct-access""}",PostgreSQL,,,
legacy-session-cache,Shared Session Cache,commerce-monolith,,Distributed web session and coarse application cache.,[legacy;cache],{},Redis,,,
legacy-batch-jobs,Commerce Batch Jobs,commerce-monolith,,"Scheduled catalog, search, order, and integration processing.",[legacy;batch],{},Java scheduler,,,
erp-database,ERP Operational Database,erp-wms,,Enterprise inventory and fulfilment system of record.,[database;system-of-record],{},Relational database,,,
oms-database,OMS Operational Database,enterprise-oms,,Enterprise order routing and fulfilment state.,[database;system-of-record],{},Relational database,,,
finance-ledger-db,Finance Ledger Database,finance-ledger,,"Enterprise accounting, settlement, and reconciliation records.",[database;system-of-record],{},Relational database,,,
psp-token-vault,Provider Token Vault,payment-gateway,,Provider-managed PCI token vault; ACME does not store cardholder data.,[pci;managed],{},Managed vault,,,
identity-directory,Identity Directory,identity-provider,,Managed customer and workforce identity directory.,[identity;managed],{},Managed directory,,,
analytics-event-store,Provider Analytics Event Store,digital-analytics-api,,Provider-managed pseudonymous analytics event storage.,[managed;analytics],{},Managed analytics storage,,,
provider-tax-rules,Provider Tax Rules,tax-api,,Provider-managed jurisdiction and tax-rule data.,[managed;tax],{},Managed rules engine,,,
provider-fraud-models,Provider Fraud Models,fraud-api,,Provider-managed fraud features and decision models.,[managed;fraud],{},Managed ML platform,,,
edge-waf-cdn,WAF and CDN,,acme-2027-edge-foundation,"Managed perimeter protection, caching, bot control, and DDoS mitigation.",[security;infrastructure],,Managed edge service,added,commerce-edge,
strangler-route-config,Strangler Route Configuration,,acme-2027-edge-foundation,Version-controlled routing rules that move capabilities from legacy to target services.,[configuration;strangler],,Gateway configuration,added,commerce-edge,
bff-response-cache,BFF Response Cache,,acme-2027-edge-foundation,Short-lived cache for safe catalog and navigation responses.,[cache;infrastructure],,Redis,added,storefront-bff,
event-stream-cluster,Event Stream Cluster,,acme-2027-edge-foundation,Multi-zone durable event log with retention and replay.,[event-store;infrastructure],,Managed Kafka,added,event-backbone,
event-schema-registry,Event Schema Registry,,acme-2027-edge-foundation,Versioned compatibility checks for domain event contracts.,[governance;infrastructure],,Schema registry,added,event-backbone,
telemetry-store,Telemetry Store,,acme-2027-edge-foundation,"Managed metrics, logs, and traces with production retention policies.",[observability;infrastructure],,Managed observability storage,added,observability-platform,
anti-corruption-runtime,Anti-corruption Adapter Runtime,,acme-2027-edge-foundation,"Translation, retry, circuit-breaker, and contract-isolation runtime.",[adapter;resilience],,Integration service,added,legacy-integration-adapter,
